CPT_Code,CPT_Label
23515,"Open treatment of clavicular fracture, includes internal fixation, when performed"
11771,Excision of pilonidal cyst or sinus; extensive
44020,"Enterotomy, small intestine, other than duodenum; for exploration, biopsy(s), or foreign body removal"
61020,"Ventricular puncture through previous burr hole, fontanelle, suture, or implanted ventricular catheter/reservoir; without injection"
74176,"Computed tomography, abdomen and pelvis; without contrast material"
48146,"Pancreatectomy, distal, near-total with preservation of duodenum (Child-type procedure)"
1008633,Excision of varicocele or ligation of spermatic veins for varicocele
1020533,"Injection(s), diagnostic or therapeutic agent, paravertebral facet (zygapophyseal) joint (or nerves innervating that joint) with ultrasound guidance, cervical or thoracic"
97140,"Manual therapy techniques (eg, mobilization/ manipulation, manual lymphatic drainage, manual traction), 1 or more regions, each 15 minutes"
35840,"Exploration for postoperative hemorrhage, thrombosis or infection; abdomen"
43264,Endoscopic retrograde cholangiopancreatography (ERCP); with removal of calculi/debris from biliary/pancreatic duct(s)
31637,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; each additional major bronchus stented (List separately in addition to code for primary procedure)"
86900,"Blood typing, serologic; ABO"
1029720,Removal of neurostimulator system for treatment of central sleep apnea
1003408,"Tissue cultured skin autograft, trunk, arms, legs"
1003871,"Reconstruction of mandibular rami, horizontal, vertical, C, or L osteotomy"
3073F,"Pre-surgical (cataract) axial length, corneal power measurement and method of intraocular lens power calculation documented within 12 months prior to surgery (EC)"
28200,"Repair, tendon, flexor, foot; primary or secondary, without free graft, each tendon"
49326,"Laparoscopy, surgical; with omentopexy (omental tacking procedure) (List separately in addition to code for primary procedure)"
1013012,"Electrocardiogram, routine ECG with at least 12 leads"
1014573,"Breast reconstruction with transverse rectus abdominis myocutaneous flap (TRAM), single pedicle, including closure of donor site"
63305,"Vertebral corpectomy (vertebral body resection), partial or complete, for excision of intraspinal lesion, single segment; intradural, thoracic by transthoracic approach"
1005872,Laryngoplasty
64895,"Nerve graft (includes obtaining graft), multiple strands (cable), hand or foot; up to 4 cm length"
93668,"Peripheral arterial disease (PAD) rehabilitation, per session"
12018,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; over 30.0 cm"
1011115,Positron emission tomography (PET) imaging
61770,"Stereotactic localization, including burr hole(s), with insertion of catheter(s) or probe(s) for placement of radiation source"
15789,"Chemical peel, facial; dermal"
95830,Insertion by physician or other qualified health care professional of sphenoidal electrodes for electroencephalographic (EEG) recording
50400,"Pyeloplasty (Foley Y-pyeloplasty), plastic operation on renal pelvis, with or without plastic operation on ureter, nephropexy, nephrostomy, pyelostomy, or ureteral splinting; simple"
87905,"Infectious agent enzymatic activity other than virus (eg, sialidase activity in vaginal fluid)"
49425,Insertion of peritoneal-venous shunt
26862,"Arthrodesis, interphalangeal joint, with or without internal fixation; with autograft (includes obtaining graft)"
1028578,Phrenic Nerve Stimulation System Procedures
01680,"Anesthesia for shoulder cast application, removal or repair, not otherwise specified"
61543,Craniotomy with elevation of bone flap; for partial or subtotal (functional) hemispherectomy
56442,"Hymenotomy, simple incision"
93568,"Injection procedure during cardiac catheterization including imaging supervision, interpretation, and report; for pulmonary angiography (List separately in addition to code for primary procedure)"
88262,"Chromosome analysis; count 15-20 cells, 2 karyotypes, with banding"
81312,"PABPN1 (poly[A] binding protein nuclear 1) (eg, oculopharyngeal muscular dystrophy) gene analysis, evaluation to detect abnormal (eg, expanded) alleles"
30100,"Biopsy, intranasal"
13100,"Repair, complex, trunk; 1.1 cm to 2.5 cm"
94750,"Pulmonary compliance study (eg, plethysmography, volume and pressure measurements)"
68720,Dacryocystorhinostomy (fistulization of lacrimal sac to nasal cavity)
1007375,"Laparoscopy, surgical"
86825,"Human leukocyte antigen (HLA) crossmatch, non-cytotoxic (eg, using flow cytometry); first serum sample or dilution"
4255F,"Duration of general or neuraxial anesthesia 60 minutes or longer, as documented in the anesthesia record (CRIT) (Peri2)"
3118F,New York Heart Association (NYHA) Class documented (HF)
49652,"Laparoscopy, surgical, repair, ventral, umbilical, spigelian or epigastric hernia (includes mesh insertion, when performed); reducible"
1020204,"Radical resection of tumor (eg, sarcoma), soft tissue of abdominal wall"
26735,"Open treatment of phalangeal shaft fracture, proximal or middle phalanx, finger or thumb, includes internal fixation, when performed, each"
24470,"Hemiepiphyseal arrest (eg, cubitus varus or valgus, distal humerus)"
1010147,Surgical Procedures on the Middle Ear
1010819,Diagnostic Ultrasound Procedures of the Extremities
92986,Percutaneous balloon valvuloplasty; aortic valve
23190,"Ostectomy of scapula, partial (eg, superior medial angle)"
1153F,"Documentation of advanced disease diagnosis, goals of care do not prioritize comfort (Pall Cr)"
97158,"Group adaptive behavior treatment with protocol modification, administered by physician or other qualified health care professional, face-to-face with multiple patients, each 15 minutes"
21315,Closed treatment of nasal bone fracture; without stabilization
64405,"Injection, anesthetic agent; greater occipital nerve"
81405,"Molecular pathology procedure, Level 6"
TD,Rn
27590,"Amputation, thigh, through femur, any level"
1006955,"Repair, diaphragmatic hernia (other than neonatal), traumatic"
1022202,Add-on Codes
1008742,Introduction Procedures on the Vagina
28072,"Synovectomy; metatarsophalangeal joint, each"
1004780,Fracture and/or Dislocation Procedures on the Hand and Fingers
84233,Receptor assay; estrogen
28496,"Percutaneous skeletal fixation of fracture great toe, phalanx or phalanges, with manipulation"
81212,"BRCA1 (BRCA1, DNA repair associated), BRCA2 (BRCA2, DNA repair associated) (eg, hereditary breast and ovarian cancer) gene analysis; 185delAG, 5385insC, 6174delT variants"
1009230,"Secondary repair of dura for cerebrospinal fluid leak, anterior, middle or posterior cranial fossa following surgery of the skull base"
1005940,Excision tracheal stenosis and anastomosis
22802,"Arthrodesis, posterior, for spinal deformity, with or without cast; 7 to 12 vertebral segments"
47564,"Laparoscopy, surgical; cholecystectomy with exploration of common duct"
88162,"Cytopathology, smears, any other source; extended study involving over 5 slides and/or multiple stains"
62220,"Creation of shunt; ventriculo-atrial, -jugular, -auricular"
27105,Transfer paraspinal muscle to hip (includes fascial or tendon extension graft)
92355,Fitting of spectacle mounted low vision aid; telescopic or other compound lens system
85612,Russell viper venom time (includes venom); undiluted
00920,Anesthesia for procedures on male genitalia (including open urethral procedures); not otherwise specified
1021906,Public Health Clinic
1003371,"Adjacent tissue transfer or rearrangement, trunk"
43249,"Esophagogastroduodenoscopy, flexible, transoral; with transendoscopic balloon dilation of esophagus (less than 30 mm diameter)"
XP,"Separate practitioner, a service that is distinct because it was performed by a different practitioner"
87580,"Infectious agent detection by nucleic acid (DNA or RNA); Mycoplasma pneumoniae, direct probe technique"
49520,"Repair recurrent inguinal hernia, any age; reducible"
31200,"Ethmoidectomy; intranasal, anterior"
68705,"Correction of everted punctum, cautery"
44204,"Laparoscopy, surgical; colectomy, partial, with anastomosis"
1008748,Repair Procedures on the Vagina
12013,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.6 cm to 5.0 cm"
55801,"Prostatectomy, perineal, subtotal (including control of postoperative bleeding, vasectomy, meatotomy, urethral calibration and/or dilation, and internal urethrotomy)"
1004670,Introduction or Removal Procedures on the Hand and Fingers
37619,Ligation of inferior vena cava
84154,Prostate specific antigen (PSA); free
15261,"Full thickness graft, free, including direct closure of donor site, nose, ears, eyelids, and/or lips; each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)"
58548,"Laparoscopy, surgical, with radical hysterectomy, with bilateral total pelvic lymphadenectomy and para-aortic lymph node sampling (biopsy), with removal of tube(s) and ovary(s), if performed"
1003193,"Removal of skin tags, multiple fibrocutaneous tags, any area"
30118,"Excision or destruction (eg, laser), intranasal lesion; external approach (lateral rhinotomy)"
38381,Suture and/or ligation of thoracic duct; thoracic approach
33366,"Transcatheter aortic valve replacement (TAVR/TAVI) with prosthetic valve; transapical exposure (eg, left thoracotomy)"
1035160,"Fine needle aspiration biopsy, including fluoroscopic guidance"
93229,"External mobile cardiovascular telemetry with electrocardiographic recording, concurrent computerized real time data analysis and greater than 24 hours of accessible ECG data storage (retrievable with query) with ECG triggered and patient selected events transmitted to a remote attended surveillance center for up to 30 days; technical support for connection and patient instructions for use, attended surveillance, analysis and transmission of daily and emergent data reports as prescribed by a physician or other qualified health care professional"
1011838,"Hemoglobin or RBCs, fetal, for fetomaternal hemorrhage"
45317,"Proctosigmoidoscopy, rigid; with control of bleeding (eg, injection, bipolar cautery, unipolar cautery, laser, heater probe, stapler, plasma coagulator)"
1011224,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents"
HW,Funded by state mental health agency
62120,"Repair of encephalocele, skull vault, including cranioplasty"
45120,"Proctectomy, complete (for congenital megacolon), abdominal and perineal approach; with pull-through procedure and anastomosis (eg, Swenson, Duhamel, or Soave type operation)"
58822,Drainage of ovarian abscess; abdominal approach
64890,"Nerve graft (includes obtaining graft), single strand, hand or foot; up to 4 cm length"
24587,Open treatment of periarticular fracture and/or dislocation of the elbow (fracture distal humerus and proximal ulna and/or proximal radius); with implant arthroplasty
86593,"Syphilis test, non-treponemal antibody; quantitative"
77084,"Magnetic resonance (eg, proton) imaging, bone marrow blood supply"
36906,"Percutaneous transluminal mechanical thrombectomy and/or infusion for thrombolysis, dialysis circuit, any method, including all imaging and radiological supervision and interpretation, diagnostic angiography, fluoroscopic guidance, catheter placement(s), and intraprocedural pharmacological thrombolytic injection(s); with transcatheter placement of intravascular stent(s), peripheral dialysis segment, including all imaging and radiological supervision and interpretation necessary to perform the stenting, and all angioplasty within the peripheral dialysis circuit"
70134,"Radiologic examination, internal auditory meati, complete"
99245,"Office consultation for a new or established patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate to high severity. Typically, 80 minutes are spent face-to-face with the patient and/or family."
1007766,"Sphincteroplasty, anal, for incontinence, adult"
0429T,Removal of neurostimulator system for treatment of central sleep apnea; sensing lead only
1014280,"Protein analysis of tissue by Western Blot, with interpretation and report"
76827,"Doppler echocardiography, fetal, pulsed wave and/or continuous wave with spectral display; complete"
43251,"Esophagogastroduodenoscopy, flexible, transoral; with removal of tumor(s), polyp(s), or other lesion(s) by snare technique"
33889,"Open subclavian to carotid artery transposition performed in conjunction with endovascular repair of descending thoracic aorta, by neck incision, unilateral"
33465,"Replacement, tricuspid valve, with cardiopulmonary bypass"
1020924,"MECP2 (methyl CpG binding protein 2) (eg, Rett syndrome) gene analysis"
32506,"Thoracotomy; with therapeutic wedge resection (eg, mass or nodule), each additional resection, ipsilateral (List separately in addition to code for primary procedure)"
84525,"Urea nitrogen; semiquantitative (eg, reagent strip test)"
65260,"Removal of foreign body, intraocular; from posterior segment, magnetic extraction, anterior or posterior route"
81504,"Oncology (tissue of origin), microarray gene expression profiling of > 2000 genes, utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as tissue similarity scores"
33692,Complete repair tetralogy of Fallot without pulmonary atresia
17314,"Mohs micrographic technique, including removal of all gross tumor, surgical excision of tissue specimens, mapping, color coding of specimens, microscopic examination of specimens by the surgeon, and histopathologic preparation including routine stain(s) (eg, hematoxylin and eosin, toluidine blue), of the trunk, arms, or legs; each additional stage after the first stage, up to 5 tissue blocks (List separately in addition to code for primary procedure)"
P6,A declared brain-dead patient whose organs are being removed for donor purposes
44025,"Colotomy, for exploration, biopsy(s), or foreign body removal"
1009621,Neuroplasty and/or transposition
33361,Transcatheter aortic valve replacement (TAVR/TAVI) with prosthetic valve; percutaneous femoral artery approach
1015091,Bone/Joint Studies
93224,"External electrocardiographic recording up to 48 hours by continuous rhythm recording and storage; includes recording, scanning analysis with report, review and interpretation by a physician or other qualified health care professional"
70460,"Computed tomography, head or brain; with contrast material(s)"
86905,"Blood typing, serologic; RBC antigens, other than ABO or Rh (D), each"
1005330,"Excision, tumor, soft tissue of foot or toe, subcutaneous"
92973,Percutaneous transluminal coronary thrombectomy mechanical (List separately in addition to code for primary procedure)
69905,Labyrinthectomy; transcanal
26117,"Radical resection of tumor (eg, sarcoma), soft tissue of hand or finger; less than 3 cm"
43117,"Partial esophagectomy, distal two-thirds, with thoracotomy and separate abdominal incision, with or without proximal gastrectomy; with thoracic esophagogastrostomy, with or without pyloroplasty (Ivor Lewis)"
97153,"Adaptive behavior treatment by protocol, administered by technician under the direction of a physician or other qualified health care professional, face-to-face with one patient, each 15 minutes"
29365,Application of cylinder cast (thigh to ankle)
1008399,"Meatotomy, cutting of meatus (separate procedure)"
93455,"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with catheter placement(s) in bypass graft(s) (internal mammary, free arterial, venous grafts) including intraprocedural injection(s) for bypass graft angiography"
29870,"Arthroscopy, knee, diagnostic, with or without synovial biopsy (separate procedure)"
98968,"Telephone assessment and management service provided by a qualified nonphysician health care professional to an established patient, parent, or guardian not originating from a related assessment and management service provided within the previous 7 days nor leading to an assessment and management service or procedure within the next 24 hours or soonest available appointment; 21-30 minutes of medical discussion"
84577,"Urobilinogen, feces, quantitative"
27100,Transfer external oblique muscle to greater trochanter including fascial or tendon extension (graft)
11950,"Subcutaneous injection of filling material (eg, collagen); 1 cc or less"
50405,"Pyeloplasty (Foley Y-pyeloplasty), plastic operation on renal pelvis, with or without plastic operation on ureter, nephropexy, nephrostomy, pyelostomy, or ureteral splinting; complicated (congenital kidney abnormality, secondary pyeloplasty, solitary kidney, calycoplasty)"
69805,Endolymphatic sac operation; without shunt
86805,"Lymphocytotoxicity assay, visual crossmatch; with titration"
65280,"Repair of laceration; cornea and/or sclera, perforating, not involving uveal tissue"
62304,"Myelography via lumbar injection, including radiological supervision and interpretation; lumbosacral"
1035129,Fine Needle Aspiration Biopsy Procedures
1008310,Laparoscopic Procedures on the Bladder
28304,"Osteotomy, tarsal bones, other than calcaneus or talus"
99340,"Individual physician supervision of a patient (patient not present) in home, domiciliary or rest home (eg, assisted living facility) requiring complex and multidisciplinary care modalities involving regular physician development and/or revision of care plans, review of subsequent reports of patient status, review of related laboratory and other studies, communication (including telephone calls) for purposes of assessment or care decisions with health care professional(s), family member(s), surrogate decision maker(s) (eg, legal guardian) and/or key caregiver(s) involved in patient's care, integration of new information into the medical treatment plan and/or adjustment of medical therapy, within a calendar month; 30 minutes or more"
48552,"Backbench reconstruction of cadaver donor pancreas allograft prior to transplantation, venous anastomosis, each"
78608,"Brain imaging, positron emission tomography (PET); metabolic evaluation"
35321,"Thromboendarterectomy, including patch graft, if performed; axillary-brachial"
26670,"Closed treatment of carpometacarpal dislocation, other than thumb, with manipulation, each joint; without anesthesia"
1008351,Litholapaxy: crushing or fragmentation of calculus by any means in bladder and removal of fragments
83864,"Mucopolysaccharides, acid, quantitative"
11045,"Debridement, subcutaneous tissue (includes epidermis and dermis, if performed); each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)"
4145F,"Two or more anti-hypertensive agents prescribed or currently being taken (CAD, HTN)"
21235,"Graft; ear cartilage, autogenous, to nose or ear (includes obtaining graft)"
57156,Insertion of a vaginal radiation afterloading apparatus for clinical brachytherapy
1010538,Radiologic examination
67346,Biopsy of extraocular muscle
90901,Biofeedback training by any modality
81325,"PMP22 (peripheral myelin protein 22) (eg, Charcot-Marie-Tooth, hereditary neuropathy with liability to pressure palsies) gene analysis; full sequence analysis"
21462,Open treatment of mandibular fracture; with interdental fixation
88275,"Molecular cytogenetics; interphase in situ hybridization, analyze 100-300 cells"
1014104,"Arthrodesis, carpometacarpal joint, digit, other than thumb, each"
1012139,"Culture, bacterial"
21933,"Excision, tumor, soft tissue of back or flank, subfascial (eg, intramuscular); 5 cm or greater"
80417,"Peripheral vein renin stimulation panel (eg, captopril) This panel must include the following: Renin (84244 x 2)"
HC,"Adult program, geriatric"
33286,"Removal, subcutaneous cardiac rhythm monitor"
23195,"Resection, humeral head"
0539T,Chimeric antigen receptor T-cell (CAR-T) therapy; receipt and preparation of CAR-T cells for administration
23615,"Open treatment of proximal humeral (surgical or anatomical neck) fracture, includes internal fixation, when performed, includes repair of tuberosity(s), when performed"
1014671,"Surgical preparation or creation of recipient site by excision of open wounds, burn eschar, or scar (including subcutaneous tissues), or incisional release of scar contracture, trunk, arms, legs"
1031057,"HBB (hemoglobin, subunit beta) (eg, sickle cell anemia, beta thalassemia, hemoglobinopathy)"
1005377,Radical resection of tumor
1019121,Newborn Care Services
24582,"Percutaneous skeletal fixation of humeral condylar fracture, medial or lateral, with manipulation"
1013194,Duplex scan of upper extremity arteries or arterial bypass grafts
82180,"Ascorbic acid (Vitamin C), blood"
KX,Requirements specified in the medical policy have been met
99306,"Initial nursing facility care, per day, for the evaluation and management of a patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the problem(s) requiring admission are of high severity. Typically, 45 minutes are spent at the bedside and on the patient's facility floor or unit."
1006783,Arterial Mechanical Thrombectomy Procedures
21123,"Genioplasty; sliding, augmentation with interpositional bone grafts (includes obtaining autografts)"
77424,"Intraoperative radiation treatment delivery, x-ray, single treatment session"
22510,"Percutaneous vertebroplasty (bone biopsy included when performed), 1 vertebral body, unilateral or bilateral injection, inclusive of all imaging guidance; cervicothoracic"
50606,"Endoluminal biopsy of ureter and/or renal pelvis, non-endoscopic, including imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation (List separately in addition to code for primary procedure)"
51792,"Stimulus evoked response (eg, measurement of bulbocavernosus reflex latency time)"
64569,"Revision or replacement of cranial nerve (eg, vagus nerve) neurostimulator electrode array, including connection to existing pulse generator"
1003090,"Anesthesia for Procedures on the Forearm, Wrist, and Hand"
29888,Arthroscopically aided anterior cruciate ligament repair/augmentation or reconstruction
88167,"Cytopathology, slides, cervical or vaginal (the Bethesda System); with manual screening and computer-assisted rescreening using cell selection and review under physician supervision"
4135F,Systemic corticosteroids prescribed (OME)
67041,"Vitrectomy, mechanical, pars plana approach; with removal of preretinal cellular membrane (eg, macular pucker)"
81020,Urinalysis; 2 or 3 glass test
61548,"Hypophysectomy or excision of pituitary tumor, transnasal or transseptal approach, nonstereotactic"
1009944,Surgical Procedures on the Ocular Adnexa
1007979,"Laparoscopic Procedures on the Abdomen, Peritoneum, and Omentum"
33460,"Valvectomy, tricuspid valve, with cardiopulmonary bypass"
51565,"Cystectomy, partial, with reimplantation of ureter(s) into bladder (ureteroneocystostomy)"
33884,"Placement of proximal extension prosthesis for endovascular repair of descending thoracic aorta (eg, aneurysm, pseudoaneurysm, dissection, penetrating ulcer, intramural hematoma, or traumatic disruption); each additional proximal extension (List separately in addition to code for primary procedure)"
1004817,"Closed treatment of interphalangeal joint dislocation, single, with manipulation"
84238,Receptor assay; non-endocrine (specify receptor)
1006199,Venous Grafting Only for Coronary Artery Bypass
58951,"Resection (initial) of ovarian, tubal or primary peritoneal malignancy with bilateral salpingo-oophorectomy and omentectomy; with total abdominal hysterectomy, pelvic and limited para-aortic lymphadenectomy"
1006261,Atrial septectomy or septostomy
32810,Closure of chest wall following open flap drainage for empyema (Clagett type procedure)
86609,"Antibody; bacterium, not elsewhere specified"
21440,Closed treatment of mandibular or maxillary alveolar ridge fracture (separate procedure)
1007952,"Surgical Procedures on the Abdomen, Peritoneum, and Omentum"
81303,"MECP2 (methyl CpG binding protein 2) (eg, Rett syndrome) gene analysis; known familial variant"
55500,"Excision of hydrocele of spermatic cord, unilateral (separate procedure)"
77307,"Teletherapy isodose plan; complex (multiple treatment areas, tangential ports, the use of wedges, blocking, rotational beam, or special beam considerations), includes basic dosimetry calculation(s)"
1007676,"Proctopexy (eg, for prolapse)"
72080,"Radiologic examination, spine; thoracolumbar junction, minimum of 2 views"
1020544,"Computed tomography, abdomen and pelvis"
64886,"Nerve graft (includes obtaining graft), head or neck; more than 4 cm length"
60281,Excision of thyroglossal duct cyst or sinus; recurrent
0394T,"High dose rate electronic brachytherapy, skin surface application, per fraction, includes basic dosimetry, when performed"
25645,"Open treatment of carpal bone fracture (other than carpal scaphoid [navicular]), each bone"
1003419,"Full thickness graft, free, including direct closure of donor site, trunk"
71551,"Magnetic resonance (eg, proton) imaging, chest (eg, for evaluation of hilar and mediastinal lymphadenopathy); with contrast material(s)"
83874,Myoglobin
49450,"Replacement of gastrostomy or cecostomy (or other colonic) tube, percutaneous, under fluoroscopic guidance including contrast injection(s), image documentation and report"
33767,Shunt; superior vena cava to pulmonary artery for flow to both lungs (bidirectional Glenn procedure)
19305,"Mastectomy, radical, including pectoral muscles, axillary lymph nodes"
1010049,Surgical Procedures on the Conjunctiva
Q4,Service for ordering/referring physician qualifies as a service exemption
64782,"Excision of neuroma; hand or foot, except digital nerve"
27601,"Decompression fasciotomy, leg; posterior compartment(s) only"
61055,Cisternal or lateral cervical (C1-C2) puncture; with injection of medication or other substance for diagnosis or treatment
94010,"Spirometry, including graphic record, total and timed vital capacity, expiratory flow rate measurement(s), with or without maximal voluntary ventilation"
33391,"Valvuloplasty, aortic valve, open, with cardiopulmonary bypass; complex (eg, leaflet extension, leaflet resection, leaflet reconstruction, or annuloplasty)"
50391,"Instillation(s) of therapeutic agent into renal pelvis and/or ureter through established nephrostomy, pyelostomy or ureterostomy tube (eg, anticarcinogenic or antifungal agent)"
72198,"Magnetic resonance angiography, pelvis, with or without contrast material(s)"
21406,"Open treatment of fracture of orbit, except blowout; without implant"
89258,Cryopreservation; embryo(s)
27130,"Arthroplasty, acetabular and proximal femoral prosthetic replacement (total hip arthroplasty), with or without autograft or allograft"
33688,"Closure of single ventricular septal defect, with or without patch; with removal of pulmonary artery band, with or without gusset"
1004474,Introduction or Removal Procedures on the Forearm and Wrist
50688,Change of ureterostomy tube or externally accessible ureteral stent via ileal conduit
33264,Removal of implantable defibrillator pulse generator with replacement of implantable defibrillator pulse generator; multiple lead system
1006377,Venous Reconstruction Procedures
44130,"Enteroenterostomy, anastomosis of intestine, with or without cutaneous enterostomy (separate procedure)"
99316,Nursing facility discharge day management; more than 30 minutes
20956,Bone graft with microvascular anastomosis; iliac crest
96375,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); each additional sequential intravenous push of a new substance/drug (List separately in addition to code for primary procedure)"
1003309,Repair-Simple Procedures on the Integumentary System
64581,Incision for implantation of neurostimulator electrode array; sacral nerve (transforaminal placement)
95115,Professional services for allergen immunotherapy not including provision of allergenic extracts; single injection
1013319,Electroencephalogram (EEG) extended monitoring
87497,"Infectious agent detection by nucleic acid (DNA or RNA); cytomegalovirus, quantification"
87271,"Infectious agent antigen detection by immunofluorescent technique; Cytomegalovirus, direct fluorescent antibody (DFA)"
1007854,Introduction Procedures on the Biliary Tract
27327,"Excision, tumor, soft tissue of thigh or knee area, subcutaneous; less than 3 cm"
1021136,Interactive Complexity Psychiatry Services and Procedures
50815,"Ureterocolon conduit, including intestine anastomosis"
1006860,"Blood-derived hematopoietic progenitor cell harvesting for transplantation, per collection"
94760,Noninvasive ear or pulse oximetry for oxygen saturation; single determination
11980,Subcutaneous hormone pellet implantation (implantation of estradiol and/or testosterone pellets beneath the skin)
35623,"Bypass graft, with other than vein; axillary-popliteal or -tibial"
1013209,Duplex scan of arterial inflow and venous outflow of penile vessels
99415,"Prolonged clinical staff service (the service beyond the typical service time) during an evaluation and management service in the office or outpatient setting, direct patient contact with physician supervision; first hour (List separately in addition to code for outpatient Evaluation and Management service)"
22214,"Osteotomy of spine, posterior or posterolateral approach, 1 vertebral segment; lumbar"
88045,Necropsy (autopsy); coroner's call
52351,"Cystourethroscopy, with ureteroscopy and/or pyeloscopy; diagnostic"
T046,Pathologic Function
1031036,"Anesthesia for lower intestinal endoscopic procedures, endoscope introduced distal to duodenum"
42892,"Resection of lateral pharyngeal wall or pyriform sinus, direct closure by advancement of lateral and posterior pharyngeal walls"
72120,"Radiologic examination, spine, lumbosacral; bending views only, 2 or 3 views"
67922,Repair of entropion; thermocauterization
4148F,Hepatitis A vaccine injection administered or previously received (HEP-C)
29866,"Arthroscopy, knee, surgical; osteochondral autograft(s) (eg, mosaicplasty) (includes harvesting of the autograft[s])"
3011F,"Lipid panel results documented and reviewed (must include total cholesterol, HDL-C, triglycerides and calculated LDL-C) (CAD)"
64901,"Nerve graft, each additional nerve; single strand (List separately in addition to code for primary procedure)"
43845,"Gastric restrictive procedure with partial gastrectomy, pylorus-preserving duodenoileostomy and ileoileostomy (50 to 100 cm common channel) to limit absorption (biliopancreatic diversion with duodenal switch)"
0174T,"Computer-aided detection (CAD) (computer algorithm analysis of digital image data for lesion detection) with further physician review for interpretation and report, with or without digitization of film radiographic images, chest radiograph(s), performed concurrent with primary interpretation (List separately in addition to code for primary procedure)"
69990,"Microsurgical techniques, requiring use of operating microscope (List separately in addition to code for primary procedure)"
24560,"Closed treatment of humeral epicondylar fracture, medial or lateral; without manipulation"
1003782,Electrical stimulation to aid bone healing
GD,Units of service exceeds medically unlikely edit value and represents reasonable and necessary services
1011849,"Osmotic fragility, RBC"
94726,"Plethysmography for determination of lung volumes and, when performed, airway resistance"
31615,Tracheobronchoscopy through established tracheostomy incision
73600,"Radiologic examination, ankle; 2 views"
1020935,"Needle electromyography, each extremity, with related paraspinal areas, when performed, done with nerve conduction, amplitude and latency/velocity study"
22812,"Arthrodesis, anterior, for spinal deformity, with or without cast; 8 or more vertebral segments"
99336,"Domiciliary or rest home visit for the evaluation and management of an established patient, which requires at least 2 of these 3 key components: A detailed interval history; A detailed examination; Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate to high severity. Typically, 40 minutes are spent with the patient and/or family or caregiver."
27619,"Excision, tumor, soft tissue of leg or ankle area, subfascial (eg, intramuscular); less than 5 cm"
76818,Fetal biophysical profile; with non-stress testing
64722,Decompression; unspecified nerve(s) (specify)
43242,"Esophagogastroduodenoscopy, flexible, transoral; with transendoscopic ultrasound-guided intramural or transmural fine needle aspiration/biopsy(s) (includes endoscopic ultrasound examination of the esophagus, stomach, and either the duodenum or a surgically altered stomach where the jejunum is examined distal to the anastomosis)"
1008653,"Prostatotomy, external drainage of prostatic abscess, any approach"
89353,"Thawing of cryopreserved; sperm/semen, each aliquot"
52317,Litholapaxy: crushing or fragmentation of calculus by any means in bladder and removal of fragments; simple or small (less than 2.5 cm)
1010543,"Radiologic examination, gastrointestinal tract, upper"
1011801,Clotting inhibitors or anticoagulants
54405,"Insertion of multi-component, inflatable penile prosthesis, including placement of pump, cylinders, and reservoir"
19300,Mastectomy for gynecomastia
81599,Unlisted multianalyte assay with algorithmic analysis
72020,"Radiologic examination, spine, single view, specify level"
69604,Revision mastoidectomy; resulting in tympanoplasty
48548,"Pancreaticojejunostomy, side-to-side anastomosis (Puestow-type operation)"
27422,"Reconstruction of dislocating patella; with extensor realignment and/or muscle advancement or release (eg, Campbell, Goldwaite type procedure)"
4301F,Patient not receiving warfarin therapy for nonvalvular atrial fibrillation or atrial flutter (AFIB)
51595,"Cystectomy, complete, with ureteroileal conduit or sigmoid bladder, including intestine anastomosis; with bilateral pelvic lymphadenectomy, including external iliac, hypogastric, and obturator nodes"
86930,"Frozen blood, each unit; freezing (includes preparation)"
69930,"Cochlear device implantation, with or without mastoidectomy"
1009703,"Neurorrhaphy With Nerve Graft, Vein Graft or Conduit Procedures"
99510,"Home visit for individual, family, or marriage counseling"
